INDEX,news_title,언론사,뉴스 게시일자,기사 반응 수,comments,댓글 공감 수,댓글 답글 수,gender_bias,other_bias,none_bias,hate,offensive,none_hate
1,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,정말 미안하다. ㅠㅠ 난 널 몰라. ㅠㅠ,1,4,0.032059945,0.08597175,0.930680513,0.056483112,0.210659623,0.749693573
2,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,괜찮아 박명수가 그자리 꿰찬다,2,2,0.025283363,0.111204818,0.857191324,0.099306785,0.304413438,0.580138743
3,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,나도 우리동네에서 알아주는 뮤지션인데 처음듣는 이름인데 아프리카bj임?,17,46,0.027093712,0.129379809,0.890715003,0.049465541,0.323300838,0.664737284
4,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,음악같지도 않은 음악장르 프로듀서 죽은거까지 알아야함?,2,3,0.028315874,0.154090628,0.856933415,0.097849555,0.367404014,0.461893678
5,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,"삼가 고인의 명복을 빕니다 즐겨듣는 levels , divine sorrow ,wake me up, waiting for love, addicted to you , hey brother 기억할게요",0,0,0.045322657,0.084001862,0.882905781,0.058123503,0.15410012,0.782936215
6,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,이런 음악하는애들 일찍 죽는거 뻔하지 않나? 온갖 약물 빨아대면서 지가 만든 음악틀어놓고 여자랑 문란하게 비트게 꿍짝 거리다 흥 떨어지니 약 더빨고 더빨다 저 세상가는거지 애도는 무슨 축하한다,7,37,0.647554338,0.366719991,0.127784058,0.749629676,0.377709925,0.082558922
7,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,생긴거는 무슨 40대에 범죄자같이생겼노 하늘나라 ㅂㅂ,1,4,0.572160304,0.384640872,0.128617629,0.738225877,0.363265038,0.070330881
8,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,직업이 대중이 ㄷㄷ 이분도 쌀을 핵으로 만드는 연금술사?,3,28,0.138935775,0.371693313,0.384229839,0.55941534,0.330448449,0.177958921
9,'28세 요절' 아비치 누구? 'EDM 미래' 세계적 DJ,텐아시아,2022-07-10,4024,외국놈이 죽은거 까지 알아야되냐? 그것도 딴따라 음악 만들던 놈인데,1,3,0.149699315,0.496128201,0.356481463,0.521592617,0.431076258,0.085989788
10,'SKY 캐슬' 김혜나는 끝났지만 김보라는 계속된다…강렬한 존재감 [콕TV],일간스포츠,2022-07-10,4024,혜나는 너무 밉상스럽게 오버했어 ㅉㅉ 천천히 지껄로 만들었어야지,7,25,0.029983984,0.137167543,0.838279784,0.139711156,0.344773829,0.408370197
11,'SKY 캐슬' 김혜나는 끝났지만 김보라는 계속된다…강렬한 존재감 [콕TV],일간스포츠,2022-07-10,4024,어디가나 여자들 치맛바람이 문제야문제 미개인들 ㅉㅉ,1,19,0.806455791,0.263487548,0.081471048,0.752782941,0.308172971,0.089950733
