Record ID,Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
1,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat #tellus,6.67E+15,2020-06-30 21:09 +0000,365,4,0.010958904,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
2,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non #ullamcorper,8.27E+15,2020-06-30 17:14 +0000,184,2,0.010869565,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis #in,2.81E+14,2020-06-30 16:59 +0000,2644,46,0.017397882,1,1,17,0,3,0,23,0,0,0,0,0,0,354,1
4,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt #vulputate,7.76E+15,2020-06-30 13:55 +0000,301,3,0.009966777,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue #nonummy,6.13E+15,2020-06-30 12:13 +0000,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at #ut,7.16E+15,2020-06-30 12:06 +0000,962,37,0.038461538,0,2,7,6,0,3,19,0,0,0,0,0,0,0,0
7,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit #scelerisque,8.41E+15,2020-06-30 11:29 +0000,198,4,0.02020202,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
8,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #pellentesque,1.70E+15,2020-06-30 11:20 +0000,1298,28,0.021571649,0,2,3,0,0,3,20,0,0,0,0,0,0,0,0
9,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo #justo,5.74E+15,2020-06-30 11:04 +0000,160,3,0.01875,0,1,1,0,0,0,1,0,0,0,0,0,0,27,0
10,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla #nisi,7.94E+15,2020-06-30 11:01 +0000,1080,25,0.023148148,0,2,7,0,2,2,9,0,0,0,0,0,0,191,3
11,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a #eget,3.51E+15,2020-06-30 10:53 +0000,477,19,0.039832285,0,0,1,0,0,1,4,0,0,0,0,0,0,13,13
12,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue #id,5.00E+15,2020-06-30 10:53 +0000,295,5,0.016949153,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0
13,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #lacus,8.68E+15,2020-06-30 10:51 +0000,77,2,0.025974026,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis #cubilia,1.43E+14,2020-06-30 10:27 +0000,185,7,0.037837838,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
15,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis #et,8.25E+15,2020-06-30 10:24 +0000,854,16,0.018735363,0,2,3,2,0,5,4,0,0,0,0,0,0,0,0
16,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas #condimentum,5.01E+15,2020-06-30 10:09 +0000,289,4,0.01384083,0,1,2,0,1,0,0,0,0,0,0,0,0,56,0
17,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,1.59E+15,2020-06-30 09:56 +0000,1449,65,0.044858523,0,1,19,4,3,1,3,0,0,0,0,0,0,34,34
18,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc #ut,3.42E+15,2020-06-30 09:48 +0000,37,2,0.054054054,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #pede,9.65E+15,2020-06-30 09:42 +0000,63,1,0.015873016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,3.10E+14,2020-06-30 09:41 +0000,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,2.97E+14,2020-06-30 09:39 +0000,104,2,0.019230769,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
22,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #in,6.66E+15,2020-06-30 09:32 +0000,170,4,0.023529412,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
23,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum #at,1.69E+15,2020-06-30 09:32 +0000,925,21,0.022702703,0,1,7,2,0,6,5,0,0,0,0,0,0,0,0
24,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #tortor,7.12E+15,2020-06-30 09:05 +0000,253,28,0.110671937,0,1,3,0,0,3,2,0,0,0,0,0,0,19,19
25,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat #sem,8.15E+15,2020-06-30 09:02 +0000,52,3,0.057692308,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0
26,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #sit,4.00E+15,2020-06-30 09:00 +0000,65,5,0.076923077,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
27,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie,3.32E+14,2020-06-30 08:55 +0000,215,5,0.023255814,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
28,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque #nisl,5.53E+15,2020-06-30 08:46 +0000,172,10,0.058139535,0,1,2,5,0,0,2,0,0,0,0,0,0,0,0
29,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non #viverra,1.81E+15,2020-06-30 08:42 +0000,792,37,0.046717172,1,0,16,2,0,7,8,0,0,0,0,0,0,196,3
30,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae #turpis,2.11E+15,2020-06-30 08:36 +0000,117,3,0.025641026,0,0,3,0,0,0,0,0,0,0,0,0,0,20,0
31,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in #eu,3.31E+15,2020-06-30 08:24 +0000,604,21,0.034768212,0,0,5,0,0,2,0,0,0,0,0,0,0,14,14
32,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo #amet,7.64E+14,2020-06-30 08:13 +0000,593,18,0.030354132,0,0,10,4,0,4,0,0,0,0,0,0,0,113,0
33,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis #erat,2.77E+15,2020-06-30 01:36 +0000,657,3,0.00456621,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
34,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis,1.95E+15,2020-06-30 01:34 +0000,436,12,0.027522936,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0
35,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum #sapien,3.06E+15,2020-06-29 23:36 +0000,2685,19,0.00707635,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0
36,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel,9.84E+15,2020-06-29 21:23 +0000,98,1,0.010204082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,6.82E+14,2020-06-29 18:55 +0000,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #rhoncus,1.53E+15,2020-06-29 18:12 +0000,345,14,0.04057971,0,1,0,2,9,0,2,0,0,0,0,0,0,0,0
39,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla #ac,5.88E+15,2020-06-29 18:09 +0000,782,130,0.166240409,0,2,1,1,2,0,10,0,0,0,0,0,0,114,114
40,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5.29E+15,2020-06-29 17:54 +0000,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3.31E+15,2020-06-29 17:54 +0000,250,1,0.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6.32E+15,2020-06-29 17:52 +0000,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id #blandit,2.00E+15,2020-06-29 17:52 +0000,280,5,0.017857143,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
44,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est #et,9.20E+15,2020-06-29 15:00 +0000,2739,50,0.018254838,3,1,10,3,0,0,11,0,0,0,0,0,0,820,22
45,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #sed,2.95E+15,2020-06-29 14:43 +0000,121,4,0.033057851,0,0,4,0,0,0,0,0,0,0,0,0,0,31,0
46,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas #quis,9.55E+15,2020-06-29 13:46 +0000,234,2,0.008547009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis,4.96E+14,2020-06-29 12:40 +0000,1195,41,0.034309623,4,0,8,2,9,1,8,0,0,0,0,0,0,9,9
48,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #volutpat,1.79E+15,2020-06-29 11:35 +0000,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
49,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #vivamus,6.07E+15,2020-06-29 01:56 +0000,319,10,0.031347962,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0
50,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci #tempor,7.17E+14,2020-06-29 00:46 +0000,320,7,0.021875,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0
51,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in #aenean,8.54E+15,2020-06-28 22:42 +0000,134,8,0.059701493,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0
52,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id #eros,7.32E+15,2020-06-28 20:55 +0000,153,2,0.013071895,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in #sodales,2.81E+15,2020-06-28 17:47 +0000,1925,239,0.124155844,3,1,10,1,1,0,23,0,0,0,0,0,0,200,200
54,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas #lacinia,6.71E+15,2020-06-28 15:44 +0000,257,1,0.003891051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse #primis,9.98E+15,2020-06-28 15:30 +0000,325,6,0.018461538,0,0,4,0,0,0,0,0,0,0,0,0,0,73,2
56,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis #a,6.22E+15,2020-06-28 15:19 +0000,765,11,0.014379085,0,1,5,1,0,0,4,0,0,0,0,0,0,110,0
57,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna #vel,8.23E+15,2020-06-27 19:01 +0000,236,14,0.059322034,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0
58,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl #orci,9.57E+15,2020-06-27 17:55 +0000,151,2,0.013245033,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
59,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #nulla,3.80E+14,2020-06-27 15:32 +0000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar #curabitur,4.43E+15,2020-06-27 15:05 +0000,287,12,0.041811847,0,0,5,0,0,0,6,0,0,0,0,0,0,38,1
61,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes #placerat,8.21E+15,2020-06-27 14:16 +0000,22,2,0.090909091,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
62,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et #cras,3.13E+15,2020-06-27 01:31 +0000,2408,40,0.016611296,0,2,15,2,0,0,21,0,0,0,0,0,0,0,0
63,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat #amet,2.14E+15,2020-06-26 21:43 +0000,551,1,0.001814882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi #quam,9.21E+15,2020-06-26 21:42 +0000,225,8,0.035555556,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0
65,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #non,8.46E+15,2020-06-26 21:35 +0000,171,5,0.029239766,0,1,1,0,0,0,1,0,0,0,0,0,0,47,2
66,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper #sem,2.53E+15,2020-06-26 21:26 +0000,110,7,0.063636364,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0
67,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque #velit,6.89E+15,2020-06-26 20:59 +0000,866,194,0.224018476,0,0,18,2,1,0,13,0,0,0,0,0,0,160,160
68,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor #posuere,3.65E+15,2020-06-26 20:03 +0000,11496,1065,0.092640919,1,6,37,37,4,4,78,0,0,0,0,0,0,898,898
69,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #donec,5.73E+15,2020-06-26 19:32 +0000,1073,91,0.084808947,0,0,12,3,15,3,1,0,0,0,0,0,0,57,57
70,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet #mi,8.77E+15,2020-06-26 18:46 +0000,276,4,0.014492754,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
71,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo #cum,3.43E+14,2020-06-26 18:08 +0000,56,3,0.053571429,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
72,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non #a,2.37E+15,2020-06-26 17:51 +0000,131,4,0.030534351,0,0,1,0,0,0,0,0,0,0,0,0,0,27,3
73,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce #vestibulum,9.17E+15,2020-06-26 17:35 +0000,161,4,0.02484472,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
74,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient #ante,3.96E+15,2020-06-26 14:38 +0000,316,8,0.025316456,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0
75,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla #quis,9.09E+15,2020-06-25 17:43 +0000,449,9,0.020044543,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0
